Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,SMA_20,SMA_50,RSI,MACD,MACD_Signal,BB_upper,BB_lower,Volume_MA,Price_Change,High_Low_Pct,Next_Close,Target,Next_Day_Change
2023-10-31 00:00:00-04:00,167.70731641765212,169.24226937820893,166.27136928302133,169.11354064941406,44846000,0.0,0.0,AAPL,173.13218460083007,175.0044430541992,27.11614634420627,-1.759186252454782,-1.139144602896547,181.03664547443674,165.2277237272234,53552890.0,0.0028187077430223972,0.017567487995219237,172.2825164794922,1,1.8738746867394056
2023-11-01 00:00:00-04:00,169.34132385628374,172.53998907588377,168.46985489806465,172.2825164794922,56934900,0.0,0.0,AAPL,173.1475341796875,174.93987609863282,34.69574399153598,-1.48213788109328,-1.207744041803021,181.0437257354239,165.25134262395113,53748620.0,0.018738746867394074,0.02362476623275703,175.8475799560547,1,2.069312400011797
2023-11-02 00:00:00-04:00,173.81746191423957,176.05553449603235,173.7580463313888,175.8475799560547,77334800,0.0,0.0,AAPL,173.27924346923828,174.86956512451172,47.30638060274975,-0.9686316164547577,-1.1599211199003767,181.2674019168,165.29108502167657,55188965.0,0.020693124000118024,0.013065224811269479,174.9365234375,0,-0.5180944308601607
2023-11-03 00:00:00-04:00,172.54991145126579,175.10488776817172,171.6685448819704,174.9365234375,79829200,0.0,0.0,AAPL,173.2376510620117,174.87491271972655,45.78413522098433,-0.6268801188636246,-1.0533121406470374,181.17976966621626,165.29553245780716,56317090.0,-0.005180944308601609,0.019643370170375127,177.49147033691406,1,1.4604994138498897
2023-11-06 00:00:00-05:00,174.66912431484397,177.6895273209714,174.50077512285628,177.49147033691406,63841300,0.0,0.0,AAPL,173.24953384399413,174.88719177246094,54.06884287307472,-0.15117810388412067,-0.8728842785119905,181.21762166457984,165.28144602340842,57389615.0,0.014604994138498917,0.01796566444608423,180.05636596679688,1,1.4450810650304104
2023-11-07 00:00:00-05:00,177.44195927584823,180.67034717470034,177.23400472320088,180.05636596679688,70530000,0.0,0.0,AAPL,173.41937179565429,174.9194757080078,61.14013076352973,0.42502262866736373,-0.6133016830588771,181.82622336451186,165.0125202267967,58731215.0,0.014450810650304069,0.019084815096918773,181.11598205566406,1,0.5884913222466042
2023-11-08 00:00:00-05:00,180.5812266581694,181.67054768588966,179.82858892219454,181.11598205566406,49340300,0.0,0.0,AAPL,173.5723731994629,174.89511444091798,63.49436532611707,0.9549967790414939,-0.2996408170941779,182.4336277706666,164.71111862825921,58820675.0,0.005884913222466093,0.01017005094077789,180.64060974121094,0,-0.2624684520149218
2023-11-09 00:00:00-05:00,181.18527771245388,182.3340141208839,180.04642375244094,180.64060974121094,53763500,0.0,0.0,AAPL,173.65654602050782,174.79133056640626,68.73763947998566,1.3217608215136636,0.024640481251694442,182.76179163780387,164.55130040321177,58671695.0,-0.0026246845201491897,0.012663765759649465,184.8351287841797,1,2.322024404688345
2023-11-10 00:00:00-05:00,182.425536381392,185.00371491529177,181.98922784820692,184.8351287841797,66133400,0.24,0.0,AAPL,174.04254379272462,174.767080078125,73.09237974049815,1.925002432336413,0.4047137815633848,184.34144346196064,163.7436441234886,59407010.0,0.023220244046883387,0.016309059251418973,183.24856567382812,0,-0.8583666539947025
2023-11-13 00:00:00-05:00,184.26000678217753,184.46823531200093,182.66352248721634,183.24856567382812,43627500,0.0,0.0,AAPL,174.35565032958985,174.6796060180664,68.8933936796893,2.2502781263602003,0.7738273576038845,185.38616750147034,163.32513315770936,58962535.0,-0.008583666539947021,0.00984844174986271,185.86642456054688,1,1.428583561946339
2023-11-14 00:00:00-05:00,186.12423638705965,186.53079802673324,184.73599558169857,185.86642456054688,60108400,0.0,0.0,AAPL,174.87738876342775,174.63973602294922,76.74349621913936,2.6863238874866227,1.1563272497598112,187.0501744905495,162.704603036306,59090485.0,0.014285835619463283,0.009656410238041658,186.43161010742188,1,0.3040815726731151
2023-11-15 00:00:00-05:00,186.2729648412074,187.90910668353808,186.20354524355434,186.43161010742188,53790500,0.0,0.0,AAPL,175.49225158691405,174.74565216064454,89.03214620652696,3.041961612068235,1.5334545845782632,188.70489455560778,162.27960861822032,59041790.0,0.0030408157267312053,0.009148456310606314,188.11734008789062,1,0.90420823995321
